Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
1,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,24,1996,0,,,,,0,,0,0,,3,,,,,,,bundesliga,2021-2022
2,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,24,726.0,30.0,23.7,8.1,5,79.0,2,19,17.0,8,0.46,8.0,29.0,-21.0,-2.6,-1.33,bundesliga,2021-2022
3,Ragnar Ache,de GER,MF,Eintracht Frankfurt,23,1998,13,259.0,20.0,8.5,2.9,1,72.0,0,12,16.0,6,1.23,4.0,4.0,0.0,0.0,0.13,bundesliga,2021-2022
4,Tyler Adams,us USA,MF,RB Leipzig,22,1999,24,1351.0,56.0,44.2,15.0,12,84.0,8,12,29.0,6,1.88,27.0,14.0,13.0,0.87,-0.29,bundesliga,2021-2022
5,Sargis Adamyan,am ARM,"MF,FW",Hoffenheim,28,1993,13,331.0,25.0,10.8,3.7,2,76.0,0,11,16.0,3,1.85,7.0,6.0,1.0,0.27,0.37,bundesliga,2021-2022
6,Amine Adli,ma MAR,"MF,FW",Leverkusen,21,2000,25,1256.0,50.0,41.0,14.0,13,75.0,3,12,23.0,0,1.76,24.0,22.0,2.0,0.14,-1.4,bundesliga,2021-2022
7,Naouirou Ahamada,fr FRA,MF,Stuttgart,19,2002,3,61.0,20.0,2.0,0.7,0,,0,3,20.0,9,0.0,1.0,1.0,0.0,0.0,0.54,bundesliga,2021-2022
8,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,26,2261.0,87.0,73.9,25.1,25,89.0,23,1,45.0,0,2.0,64.0,44.0,20.0,0.8,-0.67,bundesliga,2021-2022
9,Kevin Akpoguma,ng NGA,"DF,MF",Hoffenheim,26,1995,26,1527.0,59.0,49.9,17.0,19,71.0,5,7,24.0,4,1.5,34.0,30.0,4.0,0.24,0.59,bundesliga,2021-2022
10,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,27,655.0,24.0,21.4,7.3,5,79.0,3,22,12.0,2,1.74,17.0,9.0,8.0,1.1,0.16,bundesliga,2021-2022
11,Julian Albrecht,de GER,MF,Hertha BSC,19,2001,0,,,,,0,,0,0,,1,,,,,,,bundesliga,2021-2022
12,Nadiem Amiri,de GER,MF,Leverkusen,24,1996,13,369.0,28.0,12.1,4.1,3,80.0,1,10,13.0,5,2.0,6.0,6.0,0.0,0.0,-1.1,bundesliga,2021-2022
13,Sebastian Andersson,se SWE,FW,Köln,30,1991,26,1257.0,48.0,41.1,14.0,13,77.0,3,13,20.0,1,1.38,15.0,17.0,-2.0,-0.14,-0.39,bundesliga,2021-2022
14,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,17,1046.0,62.0,34.2,11.6,12,81.0,9,5,15.0,9,1.0,12.0,18.0,-6.0,-0.52,0.38,bundesliga,2021-2022
15,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,9,353.0,39.0,11.5,3.9,2,90.0,2,7,25.0,1,0.56,4.0,16.0,-12.0,-3.06,-2.33,bundesliga,2021-2022
16,Robert Andrich,de GER,MF,Leverkusen,26,1994,26,1817.0,70.0,59.4,20.2,21,81.0,14,5,22.0,1,1.92,48.0,31.0,17.0,0.84,-0.32,bundesliga,2021-2022
17,Angeliño,es ESP,"MF,DF",RB Leipzig,24,1997,29,2298.0,79.0,75.1,25.5,26,86.0,21,3,20.0,2,1.66,48.0,31.0,17.0,0.67,-1.46,bundesliga,2021-2022
18,Waldemar Anton,de GER,DF,Stuttgart,25,1996,29,2595.0,89.0,84.8,28.8,29,89.0,27,0,,0,1.07,35.0,48.0,-13.0,-0.45,0.52,bundesliga,2021-2022
19,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,25,1130.0,45.0,36.9,12.6,12,77.0,3,13,16.0,4,1.04,13.0,19.0,-6.0,-0.48,-0.1,bundesliga,2021-2022
20,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,26,1578.0,61.0,51.6,17.5,16,84.0,10,10,23.0,0,2.12,46.0,22.0,24.0,1.37,0.82,bundesliga,2021-2022
21,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,34,2994.0,88.0,97.8,33.3,34,88.0,31,0,,0,1.24,43.0,53.0,-10.0,-0.3,1.06,bundesliga,2021-2022
22,Bright Arrey-Mbi,de GER,DF,Bayern Munich,18,2003,0,,,,,0,,0,0,,1,,,,,,,bundesliga,2021-2022
23,Bright Arrey-Mbi,de GER,DF,Köln,18,2003,0,,,,,0,,0,0,,4,,,,,,,bundesliga,2021-2022
24,Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,27,1608.0,60.0,52.5,17.9,20,72.0,3,7,23.0,1,1.52,21.0,25.0,-4.0,-0.22,0.4,bundesliga,2021-2022
25,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,28,2375.0,85.0,77.6,26.4,27,87.0,20,1,33.0,6,0.96,29.0,52.0,-23.0,-0.87,0.57,bundesliga,2021-2022
26,Fisnik Asllani,xk KVX,FW,Hoffenheim,18,2002,2,9.0,5.0,0.3,0.1,0,,0,2,5.0,5,1.5,0.0,0.0,0.0,0.0,0.06,bundesliga,2021-2022
27,Simon Asta,de GER,"MF,DF",Greuther Fürth,20,2001,13,783.0,60.0,25.6,8.7,9,83.0,6,4,10.0,13,0.31,9.0,22.0,-13.0,-1.49,0.13,bundesliga,2021-2022
28,Christalino Atemona,de GER,DF,Hertha BSC,19,2002,0,,,,,0,,0,0,,2,,,,,,,bundesliga,2021-2022
29,Noah Atubolu,de GER,GK,Freiburg,19,2002,0,,,,,0,,0,0,,3,,,,,,,bundesliga,2021-2022
30,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,31,2174.0,70.0,71.0,24.2,29,73.0,1,2,26.0,0,1.61,33.0,31.0,2.0,0.08,-0.32,bundesliga,2021-2022
31,Sardar Azmoun,ir IRN,"MF,FW",Leverkusen,26,1995,9,359.0,40.0,11.7,4.0,4,73.0,0,5,13.0,0,2.11,7.0,5.0,2.0,0.5,-0.53,bundesliga,2021-2022
32,Mitchel Bakker,nl NED,"DF,MF",Leverkusen,21,2000,25,1822.0,73.0,59.5,20.2,19,86.0,13,6,31.0,1,2.0,49.0,29.0,20.0,0.99,0.04,bundesliga,2021-2022
33,Ridle Baku,de GER,"MF,DF",Wolfsburg,23,1998,34,2446.0,72.0,79.9,27.2,28,83.0,18,6,21.0,0,1.24,40.0,40.0,0.0,0.0,1.61,bundesliga,2021-2022
34,Aymen Barkok,ma MAR,MF,Eintracht Frankfurt,23,1998,5,160.0,32.0,5.2,1.8,2,51.0,0,3,19.0,4,1.2,2.0,5.0,-3.0,-1.69,-1.66,bundesliga,2021-2022
35,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21,2000,31,1789.0,58.0,58.5,19.9,20,78.0,7,11,22.0,2,1.48,25.0,24.0,1.0,0.05,-0.23,bundesliga,2021-2022
36,Jacob Barrett Laursen,dk DEN,"DF,MF",Arminia,26,1994,24,1632.0,68.0,53.3,18.1,20,76.0,8,4,27.0,4,0.83,12.0,27.0,-15.0,-0.83,-0.13,bundesliga,2021-2022
37,Abdourahmane Barry,gn GUI,DF,Greuther Fürth,21,2000,8,210.0,26.0,6.9,2.3,1,76.0,0,7,19.0,10,0.0,3.0,12.0,-9.0,-3.86,-2.44,bundesliga,2021-2022
38,Maximilian Bauer,de GER,DF,Greuther Fürth,21,2000,26,1690.0,65.0,55.2,18.8,18,87.0,16,8,16.0,4,0.65,12.0,54.0,-42.0,-2.24,-1.45,bundesliga,2021-2022
39,Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33,2970.0,90.0,97.1,33.0,33,90.0,33,0,,0,1.3,52.0,57.0,-5.0,-0.15,-3.15,bundesliga,2021-2022
40,Timo Baumgartl,de GER,DF,Union Berlin,25,1996,25,2166.0,87.0,70.8,24.1,25,87.0,22,0,,4,1.44,29.0,33.0,-4.0,-0.17,-1.17,bundesliga,2021-2022
41,Julian Baumgartlinger,at AUT,MF,Leverkusen,33,1988,6,88.0,15.0,2.9,1.0,1,59.0,0,5,6.0,5,2.67,4.0,0.0,4.0,4.09,3.21,bundesliga,2021-2022
42,Christoph Baumgartner,at AUT,MF,Hoffenheim,21,1999,29,1888.0,65.0,61.7,21.0,23,76.0,9,6,24.0,0,1.34,29.0,33.0,-4.0,-0.19,-0.34,bundesliga,2021-2022
43,Noah Joel Sarenren Bazee,ng NGA,MF,Augsburg,24,1996,14,241.0,17.0,7.9,2.7,1,67.0,0,13,13.0,3,0.93,5.0,3.0,2.0,0.75,1.35,bundesliga,2021-2022
44,Luca Bazzoli,de GER,MF,Stuttgart,20,2000,0,,,,,0,,0,0,,7,,,,,,,bundesliga,2021-2022
45,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,27,1994,28,2091.0,75.0,68.3,23.2,25,79.0,6,3,42.0,0,1.5,34.0,40.0,-6.0,-0.26,-0.63,bundesliga,2021-2022
46,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,26,1995,28,1758.0,63.0,57.5,19.5,22,75.0,4,6,19.0,3,1.71,30.0,24.0,6.0,0.31,0.31,bundesliga,2021-2022
47,Kevin Behrens,de GER,FW,Union Berlin,30,1991,24,499.0,21.0,16.3,5.5,2,63.0,0,22,17.0,5,1.75,13.0,8.0,5.0,0.9,0.87,bundesliga,2021-2022
48,Ishak Belfodil,dz ALG,FW,Hertha BSC,29,1992,26,1636.0,63.0,53.5,18.2,17,77.0,3,9,36.0,4,0.96,21.0,38.0,-17.0,-0.94,0.14,bundesliga,2021-2022
49,Stefan Bell,de GER,DF,Mainz 05,29,1991,33,2864.0,87.0,93.6,31.8,33,87.0,27,0,,0,1.39,46.0,41.0,5.0,0.16,0.16,bundesliga,2021-2022
50,Armel Bella Kotchap,de GER,DF,Bochum,19,2001,22,1768.0,80.0,57.8,19.6,20,88.0,18,2,2.0,9,0.95,18.0,35.0,-17.0,-0.87,-1.07,bundesliga,2021-2022
51,Karim Bellarabi,de GER,MF,Leverkusen,31,1990,16,683.0,43.0,22.3,7.6,9,62.0,0,7,18.0,1,1.94,23.0,6.0,17.0,2.24,1.63,bundesliga,2021-2022
52,Jude Bellingham,eng ENG,MF,Dortmund,18,2003,32,2790.0,87.0,91.2,31.0,32,87.0,27,0,,0,2.06,76.0,46.0,30.0,0.97,-0.03,bundesliga,2021-2022
53,George Bello,us USA,DF,Arminia,19,2002,10,434.0,43.0,14.2,4.8,3,90.0,3,7,23.0,3,0.2,2.0,12.0,-10.0,-2.07,-1.53,bundesliga,2021-2022
54,László Bénes,sk SVK,MF,Gladbach,23,1997,13,246.0,19.0,8.0,2.7,2,62.0,0,11,11.0,17,1.31,6.0,6.0,0.0,0.0,0.22,bundesliga,2021-2022
55,Keanan Bennetts,eng ENG,MF,Gladbach,22,1999,4,50.0,13.0,1.6,0.6,0,,0,4,13.0,19,0.5,1.0,0.0,1.0,1.8,2.04,bundesliga,2021-2022
56,Ramy Bensebaini,dz ALG,"DF,MF",Gladbach,26,1995,23,2020.0,88.0,66.0,22.4,22,90.0,21,1,46.0,0,1.09,37.0,48.0,-11.0,-0.49,-0.84,bundesliga,2021-2022
57,Jordan Beyer,de GER,DF,Gladbach,21,2000,17,1384.0,81.0,45.2,15.4,15,89.0,13,2,23.0,6,1.53,25.0,19.0,6.0,0.39,1.09,bundesliga,2021-2022
58,Bartosz Białek,pl POL,FW,Wolfsburg,19,2001,12,178.0,15.0,5.8,2.0,1,64.0,0,11,10.0,7,1.58,4.0,2.0,2.0,1.01,1.42,bundesliga,2021-2022
59,Ermin Bičakčić,ba BIH,DF,Hoffenheim,31,1990,1,5.0,5.0,0.2,0.1,0,,0,1,5.0,0,0.0,0.0,0.0,0.0,0.0,0.06,bundesliga,2021-2022
60,Matteo Bignetti,at AUT,GK,Eintracht Frankfurt,17,2004,0,,,,,0,,0,0,,1,,,,,,,bundesliga,2021-2022
61,Tom Bischof,de GER,MF,Hoffenheim,16,2005,1,14.0,14.0,0.5,0.2,0,,0,1,14.0,6,0.0,0.0,0.0,0.0,0.0,0.06,bundesliga,2021-2022
62,Danny Blum,de GER,FW,Bochum,30,1991,13,346.0,27.0,11.3,3.8,2,52.0,0,11,22.0,4,1.31,4.0,1.0,3.0,0.78,1.34,bundesliga,2021-2022
63,Kevin-Prince Boateng,gh GHA,"MF,FW",Hertha BSC,34,1987,18,696.0,39.0,22.7,7.7,8,61.0,0,10,21.0,6,1.11,10.0,13.0,-3.0,-0.39,0.79,bundesliga,2021-2022
64,Ben Bobzien,de GER,FW,Mainz 05,18,2003,0,,,,,0,,0,0,,4,,,,,,,bundesliga,2021-2022
65,Herbert Bockhorn,ug UGA,"DF,MF",Bochum,26,1995,18,850.0,47.0,27.8,9.4,7,89.0,6,11,21.0,9,0.61,7.0,19.0,-12.0,-1.27,-1.19,bundesliga,2021-2022
66,Jean-Paul Boëtius,sr SUR,MF,Mainz 05,27,1994,33,1800.0,55.0,58.8,20.0,19,78.0,7,14,23.0,0,1.3,31.0,34.0,-3.0,-0.15,-0.72,bundesliga,2021-2022
67,Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,19,2002,0,,,,,0,,0,0,,2,,,,,,,bundesliga,2021-2022
68,Tarsis Bonga,de GER,"FW,MF",Bochum,24,1997,3,17.0,6.0,0.6,0.2,0,,0,3,6.0,4,1.33,0.0,1.0,-1.0,-5.29,-4.91,bundesliga,2021-2022
