Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,22,2000,14.1,2,19,7,36.8,1.35,0.5,0.11,0.29,0,0,bundesliga,2023-2024
2,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,19,2003,1.1,0,2,2,100.0,1.78,1.78,0.0,0.0,0,0,bundesliga,2023-2024
3,Junior Adamu,at AUT,FW,Freiburg,22,2001,1.2,0,2,1,50.0,1.71,0.86,0.0,0.0,0,0,bundesliga,2023-2024
4,Sargis Adamyan,am ARM,"FW,MF",Köln,30,1993,8.9,1,31,14,45.2,3.48,1.57,0.03,0.07,0,0,bundesliga,2023-2024
5,Karim Adeyemi,de GER,"FW,MF",Dortmund,21,2002,10.1,3,23,10,43.5,2.27,0.99,0.13,0.3,0,0,bundesliga,2023-2024
6,Amine Adli,ma MAR,"MF,FW",Leverkusen,23,2000,10.0,4,27,15,55.6,2.71,1.5,0.15,0.27,0,0,bundesliga,2023-2024
7,Felix Agu,ng NGA,MF,Werder Bremen,23,1999,17.9,0,11,0,0.0,0.61,0.0,0.0,,0,0,bundesliga,2023-2024
8,Ludovic Ajorque,fr FRA,FW,Mainz 05,29,1994,15.1,2,30,11,36.7,1.99,0.73,0.07,0.18,0,2,bundesliga,2023-2024
9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28,1995,12.2,0,2,0,0.0,0.16,0.0,0.0,,0,0,bundesliga,2023-2024
10,Faride Alidou,de GER,"MF,FW",Köln,22,2001,14.2,4,33,11,33.3,2.32,0.77,0.12,0.36,0,0,bundesliga,2023-2024
11,Skelly Alvero,fr FRA,MF,Werder Bremen,21,2002,1.4,1,5,3,60.0,3.66,2.2,0.2,0.33,0,0,bundesliga,2023-2024
12,Nadiem Amiri,de GER,MF,Mainz 05,26,1996,14.6,1,36,8,22.2,2.46,0.55,0.03,0.13,0,1,bundesliga,2023-2024
13,Nadiem Amiri,de GER,MF,Leverkusen,26,1996,1.0,0,3,2,66.7,3.14,2.09,0.0,0.0,0,0,bundesliga,2023-2024
14,Kofi Amoako,de GER,MF,Wolfsburg,18,2005,0.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
15,Robert Andrich,de GER,"MF,DF",Leverkusen,28,1994,18.8,4,23,9,39.1,1.22,0.48,0.17,0.44,0,0,bundesliga,2023-2024
16,Waldemar Anton,de GER,DF,Stuttgart,27,1996,32.1,0,27,6,22.2,0.84,0.19,0.0,0.0,0,0,bundesliga,2023-2024
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29,1994,13.5,2,29,9,31.0,2.15,0.67,0.07,0.22,0,0,bundesliga,2023-2024
18,Asaf Arania,il ISR,FW,Darmstadt 98,17,2005,0.1,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
19,Maximilian Arnold,de GER,MF,Wolfsburg,29,1994,27.8,2,32,12,37.5,1.15,0.43,0.06,0.17,0,0,bundesliga,2023-2024
20,Arthur,br BRA,MF,Leverkusen,20,2003,2.0,0,2,1,50.0,0.98,0.49,0.0,0.0,0,0,bundesliga,2023-2024
21,Takuma Asano,jp JPN,"FW,MF",Bochum,28,1994,22.1,6,65,24,36.9,2.95,1.09,0.09,0.25,0,0,bundesliga,2023-2024
22,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,17,2006,0.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
