Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,league,season
1,Alisson,br BRA,GK,Liverpool,28,1992,36,36,3240,36.0,24,0.67,99,75,75.8,27,7,2,20,55.6,0,0,0,0,,premier_league,2021-2022
2,Alphonse Areola,fr FRA,GK,West Ham United,28,1993,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,premier_league,2021-2022
3,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,4,360,4.0,2,0.5,13,11,84.6,2,1,1,2,50.0,0,0,0,0,,premier_league,2021-2022
4,Daniel Bachmann,at AUT,GK,Watford,27,1994,12,12,1080,12.0,28,2.33,72,47,65.3,1,0,11,0,0.0,3,3,0,0,0.0,premier_league,2021-2022
5,Asmir Begović,ba BIH,GK,Everton,34,1987,3,3,270,3.0,8,2.67,18,11,61.1,1,0,2,1,33.3,1,1,0,0,0.0,premier_league,2021-2022
6,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,9,8,765,8.5,13,1.53,28,16,53.6,2,4,2,1,12.5,1,0,1,0,100.0,premier_league,2021-2022
7,Willy Caballero,ar ARG,GK,Southampton,39,1981,2,2,180,2.0,5,2.5,11,6,54.5,0,1,1,0,0.0,0,0,0,0,,premier_league,2021-2022
8,Karl Darlow,wls WAL,GK,Newcastle United,30,1990,8,8,720,8.0,15,1.87,37,24,64.9,0,5,3,0,0.0,2,2,0,0,0.0,premier_league,2021-2022
9,Martin Dúbravka,sk SVK,GK,Newcastle United,32,1989,26,26,2340,26.0,35,1.35,107,73,68.2,13,4,9,8,30.8,1,1,0,0,0.0,premier_league,2021-2022
10,Ederson,br BRA,GK,Manchester City,27,1993,37,37,3330,37.0,26,0.7,85,58,70.6,28,6,3,20,54.1,1,1,0,0,0.0,premier_league,2021-2022
11,Łukasz Fabiański,pl POL,GK,West Ham United,36,1985,37,37,3330,37.0,50,1.35,156,111,69.2,16,8,13,8,21.6,6,2,3,1,60.0,premier_league,2021-2022
12,Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,12,1080,12.0,24,2.0,72,49,68.1,3,2,7,1,8.3,1,1,0,0,0.0,premier_league,2021-2022
13,Fraser Forster,eng ENG,GK,Southampton,33,1988,19,19,1710,19.0,35,1.84,101,68,67.3,6,5,8,3,15.8,2,2,0,0,0.0,premier_league,2021-2022
14,Ben Foster,eng ENG,GK,Watford,38,1983,26,26,2340,26.0,49,1.88,114,69,59.6,5,5,16,4,15.4,4,3,1,0,25.0,premier_league,2021-2022
15,David de Gea,es ESP,GK,Manchester Utd,30,1990,38,38,3420,38.0,57,1.5,175,123,69.1,16,10,12,8,21.1,6,3,3,0,50.0,premier_league,2021-2022
16,Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,30,30,2655,29.5,33,1.12,113,83,73.5,9,11,10,11,36.7,3,3,0,0,0.0,premier_league,2021-2022
17,Angus Gunn,sct SCO,GK,Norwich City,25,1996,9,9,810,9.0,22,2.44,53,34,62.3,1,2,6,1,11.1,4,2,1,1,33.3,premier_league,2021-2022
18,Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2,2,180,2.0,6,3.0,14,8,57.1,0,0,2,0,0.0,0,0,0,0,,premier_league,2021-2022
19,Caoimhín Kelleher,ie IRL,GK,Liverpool,22,1998,2,2,180,2.0,2,1.0,8,6,75.0,1,1,0,1,50.0,0,0,0,0,,premier_league,2021-2022
20,Kristoffer Klaesson,no NOR,GK,Leeds United,20,2000,1,0,36,0.4,0,0.0,4,4,100.0,0,0,0,0,,0,0,0,0,,premier_league,2021-2022
21,Tim Krul,nl NED,GK,Norwich City,33,1988,29,29,2610,29.0,62,2.14,159,104,65.4,4,5,20,5,17.2,9,7,1,1,12.5,premier_league,2021-2022
22,Bernd Leno,de GER,GK,Arsenal,29,1992,4,4,360,4.0,9,2.25,19,10,52.6,1,0,3,1,25.0,0,0,0,0,,premier_league,2021-2022
23,Hugo Lloris,fr FRA,GK,Tottenham Hotspur,34,1986,38,38,3420,38.0,40,1.05,135,97,71.9,22,5,11,16,42.1,2,2,0,0,0.0,premier_league,2021-2022
24,Jonas Lössl,dk DEN,GK,Brentford,32,1989,2,2,180,2.0,5,2.5,7,2,28.6,0,0,2,0,0.0,0,0,0,0,,premier_league,2021-2022
25,Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36,36,3240,36.0,48,1.33,137,94,67.9,13,6,17,11,30.6,6,4,1,1,20.0,premier_league,2021-2022
26,Alex McCarthy,eng ENG,GK,Southampton,31,1989,17,17,1530,17.0,27,1.59,71,44,62.0,3,7,7,5,29.4,0,0,0,0,,premier_league,2021-2022
27,Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34,34,3060,34.0,31,0.91,98,73,74.5,19,10,5,14,41.2,6,6,0,0,0.0,premier_league,2021-2022
28,Illan Meslier,fr FRA,GK,Leeds United,21,2000,38,38,3384,37.6,79,2.1,217,143,65.9,9,11,18,5,13.2,5,5,0,0,0.0,premier_league,2021-2022
29,Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,1,90,1.0,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,premier_league,2021-2022
30,Jordan Pickford,eng ENG,GK,Everton,27,1994,35,35,3150,35.0,58,1.66,174,117,67.2,10,6,19,7,20.0,1,1,0,0,0.0,premier_league,2021-2022
31,Nick Pope,eng ENG,GK,Burnley,29,1992,36,36,3240,36.0,47,1.31,162,120,74.1,7,14,15,9,25.0,5,5,0,0,0.0,premier_league,2021-2022
32,Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34,34,3060,34.0,39,1.15,124,90,72.6,21,3,10,12,35.3,6,5,0,1,0.0,premier_league,2021-2022
