Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,league,season
1,Ben Alexander Voll,de GER,GK,St Pauli,23,2000,2,1,91,1.0,2,1.98,6,4,66.7,0,1,0,0,0.0,0,0,0,0,,bundesliga,2024-2025
2,Noah Atubolu,de GER,GK,Freiburg,22,2002,26,26,2307,25.6,37,1.44,118,82,68.6,12,6,8,10,38.5,2,0,2,0,100.0,bundesliga,2024-2025
3,Oliver Baumann,de GER,GK,Hoffenheim,34,1990,28,28,2520,28.0,53,1.89,137,88,62.8,6,8,14,4,14.3,5,2,3,0,60.0,bundesliga,2024-2025
4,Tiago Cardoso,lu LUX,GK,Gladbach,18,2006,5,4,380,4.2,3,0.71,23,20,87.0,2,1,1,2,50.0,0,0,0,0,,bundesliga,2024-2025
5,Finn Dahmen,de GER,GK,Augsburg,26,1998,19,19,1710,19.0,19,1.0,82,65,79.3,7,6,6,9,47.4,2,2,0,0,0.0,bundesliga,2024-2025
6,Thomas Dähne,de GER,GK,Holstein Kiel,30,1994,9,9,810,9.0,19,2.11,52,36,67.3,2,2,5,0,0.0,3,2,1,0,33.3,bundesliga,2024-2025
7,Patrick Drewes,de GER,GK,Bochum,31,1993,21,21,1890,21.0,46,2.19,94,53,54.3,3,4,14,3,14.3,5,3,2,0,40.0,bundesliga,2024-2025
8,Frank Feller,de GER,GK,Heidenheim,20,2004,2,1,121,1.3,0,0.0,2,2,100.0,1,0,0,2,200.0,0,0,0,0,,bundesliga,2024-2025
9,Kamil Grabara,pl POL,GK,Wolfsburg,25,1999,29,29,2585,28.7,49,1.71,137,89,65.7,9,7,13,5,17.2,3,2,1,0,33.3,bundesliga,2024-2025
10,Péter Gulácsi,hu HUN,GK,RB Leipzig,34,1990,30,30,2631,29.2,39,1.33,136,99,72.8,12,11,7,14,46.7,3,2,1,0,33.3,bundesliga,2024-2025
