Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
1,Junior Adamu,at AUT,FW,Freiburg,23,2001,25,1545.0,62.0,50.5,17.2,19,75.0,4,6,20.0,5,1.4,20.0,29.0,-9.0,-0.52,-0.82,bundesliga,2024-2025
2,Wesley Adeh,de GER,MF,Werder Bremen,17,2007,0,,,,,0,,0,0,,2,,,,,,,bundesliga,2024-2025
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,22,2002,25,1433.0,57.0,46.8,15.9,17,72.0,2,8,25.0,0,1.84,37.0,24.0,13.0,0.82,0.43,bundesliga,2024-2025
4,Amine Adli,ma MAR,"MF,FW",Leverkusen,24,2000,20,766.0,38.0,25.0,8.5,6,69.0,1,14,25.0,1,1.85,17.0,13.0,4.0,0.47,-0.51,bundesliga,2024-2025
5,Oladapo Afolayan,eng ENG,"FW,MF",St Pauli,26,1998,32,1639.0,51.0,53.6,18.2,17,76.0,2,15,23.0,2,0.97,18.0,27.0,-9.0,-0.49,-0.24,bundesliga,2024-2025
6,Felix Agu,ng NGA,MF,Werder Bremen,24,1999,22,1751.0,80.0,57.2,19.5,21,82.0,9,1,30.0,2,1.64,30.0,31.0,-1.0,-0.05,0.09,bundesliga,2024-2025
7,Erik Ahlstrand,se SWE,MF,St Pauli,22,2001,5,43.0,9.0,1.4,0.5,0,,0,5,9.0,16,1.2,1.0,1.0,0.0,0.0,0.39,bundesliga,2024-2025
8,Romeo Aigbekaen,de GER,MF,St Pauli,20,2004,0,,,,,0,,0,0,,1,,,,,,,bundesliga,2024-2025
9,Jonathan Akaegbobi,de GER,FW,Wolfsburg,18,2006,0,,,,,0,,0,0,,2,,,,,,,bundesliga,2024-2025
10,Kevin Akpoguma,ng NGA,DF,Hoffenheim,29,1995,32,2220.0,69.0,72.5,24.7,23,86.0,21,9,26.0,2,0.97,30.0,48.0,-18.0,-0.73,-0.3,bundesliga,2024-2025
11,Kerim Alajbegović,ba BIH,FW,Leverkusen,16,2007,0,,,,,0,,0,0,,5,,,,,,,bundesliga,2024-2025
