Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
1,Abner,br BRA,DF,Real Betis,22,2000,6.7,2,0,0,8,2,0,13,8,9,,,0,la_liga,2022-2023
2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,la_liga,2022-2023
3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,21.2,10,3,0,29,34,1,141,24,40,,,0,la_liga,2022-2023
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,7.5,0,0,0,0,0,0,0,0,0,,,0,la_liga,2022-2023
5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,21.0,4,0,0,14,33,0,57,13,13,,,0,la_liga,2022-2023
6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,34.7,6,1,1,18,18,1,3,28,35,,,0,la_liga,2022-2023
7,Sergio Akieme,es ESP,DF,Almería,24,1997,25.5,5,0,0,20,18,0,70,13,15,,,0,la_liga,2022-2023
8,Babatunde Akinsola,ng NGA,MF,Valladolid,19,2003,0.1,0,0,0,0,1,0,0,0,1,,,0,la_liga,2022-2023
9,Paul Akouokou,ci CIV,"MF,DF",Real Betis,24,1997,5.0,3,0,0,7,4,0,0,12,8,,,0,la_liga,2022-2023
10,David Alaba,at AUT,DF,Real Madrid,30,1992,20.4,3,0,0,9,3,0,27,13,11,,,0,la_liga,2022-2023
11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,0.3,0,0,0,2,1,0,1,0,0,,,0,la_liga,2022-2023
12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,2.5,2,1,1,4,3,0,6,2,2,,,0,la_liga,2022-2023
13,Jordi Alba,es ESP,DF,Barcelona,33,1989,15.8,6,1,1,11,4,10,90,12,17,,,0,la_liga,2022-2023
14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,23.5,6,0,0,17,13,1,1,14,18,,,0,la_liga,2022-2023
15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,22.7,11,1,1,45,33,0,44,19,32,,,0,la_liga,2022-2023
16,Omar Alderete,py PAR,DF,Getafe,25,1996,22.7,9,0,0,35,10,0,7,27,18,,,0,la_liga,2022-2023
17,Iván Alejo,es ESP,MF,Cádiz,27,1995,14.6,13,1,1,39,44,2,108,4,22,,,0,la_liga,2022-2023
18,Carles Aleñá,es ESP,"MF,FW",Getafe,24,1998,23.5,12,1,1,60,50,3,43,4,12,,,0,la_liga,2022-2023
19,Alejandro Alfaro,es ESP,MF,Elche,20,2002,0.2,0,0,0,2,0,0,0,0,0,,,0,la_liga,2022-2023
20,Ángel Algobia,es ESP,MF,Getafe,23,1999,12.6,3,0,0,31,10,0,12,4,12,,,0,la_liga,2022-2023
21,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,18,2004,6.5,1,0,0,11,12,3,30,1,10,,,0,la_liga,2022-2023
22,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,22,2000,28.2,3,0,0,31,40,1,128,21,42,,,0,la_liga,2022-2023
23,Marcos Alonso,es ESP,DF,Barcelona,31,1990,13.0,3,0,0,10,8,0,23,9,10,,,0,la_liga,2022-2023
24,Carlos Álvarez,es ESP,MF,Sevilla,18,2003,0.1,1,0,0,1,0,0,0,0,1,,,0,la_liga,2022-2023
25,Gastón Álvarez,uy URU,DF,Getafe,22,2000,16.7,7,1,0,27,12,0,23,15,29,,,0,la_liga,2022-2023
26,Yeray Álvarez,es ESP,DF,Athletic Club,27,1995,25.9,7,1,0,22,22,1,9,47,25,,,0,la_liga,2022-2023
27,Selim Amallah,ma MAR,"MF,FW",Valladolid,25,1996,3.0,2,1,0,10,8,1,2,5,8,,,0,la_liga,2022-2023
28,Amath,sn SEN,"MF,FW",Mallorca,26,1996,13.6,2,1,0,34,24,7,16,4,17,,,0,la_liga,2022-2023
29,Jordan Amavi,fr FRA,DF,Getafe,28,1994,2.2,2,1,1,3,2,1,6,3,2,,,0,la_liga,2022-2023
30,Marcos André,br BRA,FW,Valencia,25,1996,5.0,2,1,0,8,12,1,1,0,1,,,0,la_liga,2022-2023
31,Fabrizio Angileri,ar ARG,DF,Getafe,28,1994,6.5,2,1,0,7,1,0,12,7,9,,,0,la_liga,2022-2023
32,Josep Antoni Gayá,es ESP,DF,Mallorca,22,2000,1.1,0,0,0,0,0,0,0,1,0,,,0,la_liga,2022-2023
33,José Antonio,es ESP,MF,Cádiz,18,2004,0.5,0,0,0,0,4,0,1,0,1,,,0,la_liga,2022-2023
34,Anuar,ma MAR,"MF,FW",Valladolid,27,1995,2.3,1,0,0,3,6,1,1,3,4,,,0,la_liga,2022-2023
35,Mauro Arambarri,uy URU,MF,Getafe,26,1995,11.0,5,1,1,21,11,0,43,15,6,,,1,la_liga,2022-2023
36,Ronald Araújo,uy URU,DF,Barcelona,23,1999,20.0,5,1,0,16,17,1,5,11,18,,,1,la_liga,2022-2023
37,Adu Ares,es ESP,MF,Athletic Club,20,2001,0.9,0,0,0,2,8,0,8,2,2,,,0,la_liga,2022-2023
38,Sergio Arribas,es ESP,MF,Real Madrid,20,2001,0.2,0,0,0,0,0,0,1,0,0,,,0,la_liga,2022-2023
39,Roberto Arroyo,es ESP,FW,Valladolid,18,2003,0.2,0,0,0,0,0,0,1,0,1,,,0,la_liga,2022-2023
40,Ricard Artero,es ESP,MF,Girona,19,2003,1.5,0,0,0,2,1,0,0,2,3,,,0,la_liga,2022-2023
41,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,24,1998,5.4,0,0,0,4,2,1,14,2,8,,,0,la_liga,2022-2023
42,Sergio Asenjo,es ESP,GK,Valladolid,33,1989,10.0,0,0,0,0,4,0,0,0,0,,,0,la_liga,2022-2023
43,Marco Asensio,es ESP,"FW,MF",Real Madrid,26,1996,16.0,1,0,0,10,16,4,82,5,10,,,0,la_liga,2022-2023
44,Iago Aspas,es ESP,FW,Celta Vigo,34,1987,31.9,6,0,0,16,59,12,47,7,5,,,0,la_liga,2022-2023
45,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Barcelona,33,1989,0.1,0,0,0,0,0,0,0,0,0,,,0,la_liga,2022-2023
46,Ludwig Augustinsson,se SWE,DF,Mallorca,28,1994,1.5,0,0,0,1,1,0,6,1,1,,,0,la_liga,2022-2023
47,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,28,1994,19.0,7,1,0,25,35,14,80,9,5,,,0,la_liga,2022-2023
48,Iddrisu Baba,gh GHA,MF,Mallorca,26,1996,18.9,5,0,0,31,30,0,1,11,17,,,0,la_liga,2022-2023
49,Srđan Babić,rs SRB,DF,Almería,26,1996,33.3,5,0,0,24,9,2,2,27,19,,,0,la_liga,2022-2023
