Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
1,Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
2,Abner,br BRA,DF,Real Betis,23,2000,15.6,0,4,0,0.0,0.26,0.0,0.0,,0,0,la_liga,2023-2024
3,Abdel Abqar,ma MAR,DF,Alavés,24,1999,25.7,0,10,3,30.0,0.39,0.12,0.0,0.0,0,0,la_liga,2023-2024
4,Marcos Acuña,ar ARG,"DF,MF",Sevilla,31,1991,14.4,1,9,4,44.4,0.63,0.28,0.11,0.25,0,0,la_liga,2023-2024
5,Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,2.6,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
6,Lucien Agoume,fr FRA,MF,Sevilla,21,2002,8.6,0,6,2,33.3,0.69,0.23,0.0,0.0,0,0,la_liga,2023-2024
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27,1995,4.5,0,3,0,0.0,0.66,0.0,0.0,,0,0,la_liga,2023-2024
8,Ilias Akhomach,ma MAR,MF,Villarreal,19,2004,16.8,2,30,7,23.3,1.79,0.42,0.07,0.29,0,0,la_liga,2023-2024
9,Sergio Akieme,es ESP,"DF,MF",Almería,25,1997,18.6,2,9,5,55.6,0.48,0.27,0.22,0.4,0,0,la_liga,2023-2024
10,Paul Akouokou,ci CIV,MF,Real Betis,25,1997,0.3,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
11,David Alaba,at AUT,DF,Real Madrid,31,1992,12.8,0,14,4,28.6,1.09,0.31,0.0,0.0,0,0,la_liga,2023-2024
12,Raúl Albiol,es ESP,DF,Villarreal,37,1985,22.6,0,6,1,16.7,0.27,0.04,0.0,0.0,0,0,la_liga,2023-2024
13,Rubén Alcaraz,es ESP,MF,Cádiz,32,1991,34.8,3,48,12,25.0,1.38,0.34,0.02,0.08,2,2,la_liga,2023-2024
14,Omar Alderete,py PAR,DF,Getafe,26,1996,24.4,0,24,5,20.8,0.98,0.21,0.0,0.0,0,0,la_liga,2023-2024
