Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,8.1,3,0,0,17,11,15,3,5,7,,,0,bundesliga,2021-2022
2,Ragnar Ache,de GER,MF,Eintracht Frankfurt,23,1998,2.9,0,0,0,5,8,6,6,0,0,,,0,bundesliga,2021-2022
3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,15.0,5,0,0,19,15,0,2,17,9,,,0,bundesliga,2021-2022
4,Sargis Adamyan,am ARM,"MF,FW",Hoffenheim,28,1993,3.7,0,0,0,4,8,4,5,1,5,,,0,bundesliga,2021-2022
5,Amine Adli,ma MAR,"MF,FW",Leverkusen,21,2000,14.0,3,0,0,27,28,8,21,11,14,,,0,bundesliga,2021-2022
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,19,2002,0.7,0,0,0,2,1,0,0,0,0,,,0,bundesliga,2021-2022
7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,25.1,3,0,0,19,24,1,2,36,23,,,1,bundesliga,2021-2022
8,Kevin Akpoguma,ng NGA,"DF,MF",Hoffenheim,26,1995,17.0,5,0,0,25,23,4,31,21,21,,,0,bundesliga,2021-2022
9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,7.3,2,0,0,8,8,7,1,1,5,,,0,bundesliga,2021-2022
10,Nadiem Amiri,de GER,MF,Leverkusen,24,1996,4.1,0,0,0,2,11,0,9,5,4,,,0,bundesliga,2021-2022
11,Sebastian Andersson,se SWE,FW,Köln,30,1991,14.0,3,0,0,22,18,6,8,2,7,,,0,bundesliga,2021-2022
12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,11.6,4,0,0,14,2,1,20,18,16,,,0,bundesliga,2021-2022
13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,3.9,1,0,0,3,3,0,5,6,11,,,0,bundesliga,2021-2022
14,Robert Andrich,de GER,MF,Leverkusen,26,1994,20.2,5,1,0,40,15,2,6,31,16,,,0,bundesliga,2021-2022
15,Angeliño,es ESP,"MF,DF",RB Leipzig,24,1997,25.5,3,0,0,15,34,4,189,31,20,,,0,bundesliga,2021-2022
16,Waldemar Anton,de GER,DF,Stuttgart,25,1996,28.8,6,1,0,29,16,1,11,32,27,,,0,bundesliga,2021-2022
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,12.6,2,0,0,14,28,11,29,1,17,,,0,bundesliga,2021-2022
18,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,17.5,2,0,0,26,13,0,8,34,26,,,0,bundesliga,2021-2022
