Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,8.1,0,18,4,22.2,2.23,0.5,0.0,0.0,0,0,bundesliga,2021-2022
2,Ragnar Ache,de GER,MF,Eintracht Frankfurt,23,1998,2.9,0,10,2,20.0,3.47,0.69,0.0,0.0,0,0,bundesliga,2021-2022
3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,15.0,0,2,0,0.0,0.13,0.0,0.0,,0,0,bundesliga,2021-2022
4,Sargis Adamyan,am ARM,"MF,FW",Hoffenheim,28,1993,3.7,1,3,2,66.7,0.82,0.54,0.33,0.5,0,0,bundesliga,2021-2022
5,Amine Adli,ma MAR,"MF,FW",Leverkusen,21,2000,14.0,3,37,19,51.4,2.65,1.36,0.08,0.16,0,0,bundesliga,2021-2022
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,19,2002,0.7,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,25.1,1,13,3,23.1,0.52,0.12,0.08,0.33,0,0,bundesliga,2021-2022
8,Kevin Akpoguma,ng NGA,"DF,MF",Hoffenheim,26,1995,17.0,2,11,4,36.4,0.65,0.24,0.18,0.5,0,0,bundesliga,2021-2022
9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,7.3,6,23,15,65.2,3.16,2.06,0.26,0.4,0,1,bundesliga,2021-2022
10,Nadiem Amiri,de GER,MF,Leverkusen,24,1996,4.1,1,8,2,25.0,1.95,0.49,0.13,0.5,0,0,bundesliga,2021-2022
11,Sebastian Andersson,se SWE,FW,Köln,30,1991,14.0,3,35,12,34.3,2.51,0.86,0.09,0.25,0,0,bundesliga,2021-2022
12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,11.6,0,7,3,42.9,0.6,0.26,0.0,0.0,0,0,bundesliga,2021-2022
13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,3.9,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
14,Robert Andrich,de GER,MF,Leverkusen,26,1994,20.2,4,29,8,27.6,1.44,0.4,0.14,0.5,0,0,bundesliga,2021-2022
15,Angeliño,es ESP,"MF,DF",RB Leipzig,24,1997,25.5,2,13,7,53.8,0.51,0.27,0.15,0.29,0,0,bundesliga,2021-2022
16,Waldemar Anton,de GER,DF,Stuttgart,25,1996,28.8,2,24,6,25.0,0.83,0.21,0.08,0.33,0,0,bundesliga,2021-2022
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,12.6,1,29,10,34.5,2.31,0.8,0.03,0.1,0,0,bundesliga,2021-2022
18,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,17.5,1,10,3,30.0,0.57,0.17,0.1,0.33,0,0,bundesliga,2021-2022
19,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,33.3,4,39,15,38.5,1.17,0.45,0.1,0.27,0,0,bundesliga,2021-2022
20,Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,17.9,3,33,11,33.3,1.85,0.62,0.09,0.27,0,0,bundesliga,2021-2022
21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,26.4,0,13,1,7.7,0.49,0.04,0.0,0.0,0,0,bundesliga,2021-2022
