Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,league,season
1,Noah Atubolu,de GER,GK,Freiburg,21,2002,34,34,3060,34.0,58,1.71,154,101,64.3,11,9,14,9,26.5,5,3,2,0,40.0,bundesliga,2023-2024
2,Daniel Batz,de GER,GK,Mainz 05,32,1991,4,4,360,4.0,3,0.75,17,14,82.4,0,2,2,1,25.0,0,0,0,0,,bundesliga,2023-2024
3,Oliver Baumann,de GER,GK,Hoffenheim,33,1990,34,34,3060,34.0,66,1.94,204,143,68.6,13,7,14,1,2.9,5,2,3,0,60.0,bundesliga,2023-2024
4,Janis Blaswich,de GER,GK,RB Leipzig,32,1991,21,21,1890,21.0,30,1.43,73,47,64.4,10,4,7,5,23.8,4,4,0,0,0.0,bundesliga,2023-2024
5,Fabian Bredlow,de GER,GK,Stuttgart,28,1995,4,4,360,4.0,3,0.75,22,19,86.4,3,1,0,1,25.0,0,0,0,0,,bundesliga,2023-2024
6,Alexander Brunst,de GER,GK,Darmstadt 98,28,1995,3,3,270,3.0,10,3.33,17,7,41.2,0,1,2,0,0.0,0,0,0,0,,bundesliga,2023-2024
7,Koen Casteels,be BEL,GK,Wolfsburg,31,1992,25,25,2250,25.0,39,1.56,115,78,67.8,8,6,11,3,12.0,3,2,0,1,0.0,bundesliga,2023-2024
8,Finn Dahmen,de GER,GK,Augsburg,25,1998,31,31,2790,31.0,52,1.68,151,108,70.2,10,9,12,3,9.7,10,7,2,1,22.2,bundesliga,2023-2024
9,Jens Grahl,de GER,GK,Eintracht Frankfurt,34,1988,2,2,180,2.0,2,1.0,9,7,77.8,1,1,0,0,0.0,0,0,0,0,,bundesliga,2023-2024
10,Péter Gulácsi,hu HUN,GK,RB Leipzig,33,1990,13,13,1170,13.0,9,0.69,42,33,78.6,9,4,0,5,38.5,1,0,0,1,,bundesliga,2023-2024
11,Lukáš Hrádecký,fi FIN,GK,Leverkusen,33,1989,33,33,2970,33.0,24,0.73,102,78,76.5,28,5,0,15,45.5,0,0,0,0,,bundesliga,2023-2024
12,Gregor Kobel,ch SUI,GK,Dortmund,25,1997,27,27,2365,26.3,34,1.29,112,84,74.1,14,8,5,7,25.9,6,5,1,0,16.7,bundesliga,2023-2024
13,Tomáš Koubek,cz CZE,GK,Augsburg,30,1992,3,3,270,3.0,8,2.67,25,17,68.0,0,0,3,0,0.0,0,0,0,0,,bundesliga,2023-2024
14,Matej Kovar,cz CZE,GK,Leverkusen,23,2000,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,0,0,0,0,,bundesliga,2023-2024
15,Andreas Luthe,de GER,GK,Bochum,36,1987,1,1,90,1.0,4,4.0,5,1,20.0,0,0,1,0,0.0,0,0,0,0,,bundesliga,2023-2024
16,Alexander Meyer,de GER,GK,Dortmund,32,1991,8,7,695,7.7,9,1.17,28,19,67.9,4,1,2,3,42.9,0,0,0,0,,bundesliga,2023-2024
17,Kevin Müller,de GER,GK,Heidenheim,32,1991,34,34,3060,34.0,55,1.62,170,123,71.8,10,12,12,5,14.7,10,7,1,2,12.5,bundesliga,2023-2024
18,Manuel Neuer,de GER,GK,Bayern Munich,37,1986,23,23,2053,22.8,33,1.45,89,59,65.2,16,1,6,6,26.1,3,2,1,0,33.3,bundesliga,2023-2024
19,Moritz Nicolas,de GER,GK,Gladbach,25,1997,27,27,2430,27.0,49,1.81,159,113,71.7,6,11,10,4,14.8,4,4,0,0,0.0,bundesliga,2023-2024
20,Alexander Nübel,de GER,GK,Stuttgart,26,1996,30,30,2700,30.0,36,1.2,108,74,69.4,20,3,7,9,30.0,3,3,0,0,0.0,bundesliga,2023-2024
21,Jonas Omlin,ch SUI,GK,Gladbach,29,1994,7,7,630,7.0,18,2.57,45,29,64.4,1,2,4,0,0.0,2,2,0,0,0.0,bundesliga,2023-2024
22,Jiří Pavlenka,cz CZE,GK,Werder Bremen,31,1992,7,7,630,7.0,17,2.43,37,22,59.5,2,0,5,1,14.3,2,2,0,0,0.0,bundesliga,2023-2024
23,Daniel Peretz,il ISR,GK,Bayern Munich,23,2000,1,0,17,0.2,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,bundesliga,2023-2024
24,Pavao Pervan,at AUT,GK,Wolfsburg,35,1987,9,9,810,9.0,17,1.89,37,20,54.1,2,1,6,2,22.2,0,0,0,0,,bundesliga,2023-2024
25,Manuel Riemann,de GER,GK,Bochum,34,1988,33,33,2970,33.0,70,2.12,174,115,64.9,7,12,14,4,12.1,11,9,2,0,18.2,bundesliga,2023-2024
26,Frederik Rønnow,dk DEN,GK,Union Berlin,30,1992,33,33,2970,33.0,56,1.7,155,106,67.1,9,6,18,7,21.2,7,5,2,0,28.6,bundesliga,2023-2024
27,Marcel Schuhen,de GER,GK,Darmstadt 98,30,1993,31,31,2790,31.0,76,2.45,197,123,61.9,3,7,21,3,9.7,2,1,1,0,50.0,bundesliga,2023-2024
28,Marvin Schwäbe,de GER,GK,Köln,28,1995,34,34,3060,34.0,60,1.76,166,109,65.7,5,12,17,3,8.8,3,3,0,0,0.0,bundesliga,2023-2024
29,Alexander Schwolow,de GER,GK,Union Berlin,31,1992,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,bundesliga,2023-2024
30,Kevin Trapp,de GER,GK,Eintracht Frankfurt,33,1990,32,32,2880,32.0,48,1.5,124,87,68.5,10,13,9,7,21.9,11,9,2,0,18.2,bundesliga,2023-2024
31,Sven Ulreich,de GER,GK,Bayern Munich,34,1988,11,11,990,11.0,12,1.09,30,19,63.3,7,2,2,4,36.4,1,1,0,0,0.0,bundesliga,2023-2024
32,Robin Zentner,de GER,GK,Mainz 05,28,1994,30,30,2700,30.0,48,1.6,127,82,64.6,7,12,11,7,23.3,4,3,0,1,0.0,bundesliga,2023-2024
33,Michael Zetterer,de GER,GK,Werder Bremen,28,1995,27,27,2430,27.0,37,1.37,126,93,73.8,9,9,9,5,18.5,4,4,0,0,0.0,bundesliga,2023-2024
