Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,22,2000,30,1267.0,42.0,41.4,14.1,14,68.0,2,16,20.0,2,1.07,17.0,23.0,-6.0,-0.43,0.53,bundesliga,2023-2024
2,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,19,2003,7,101.0,14.0,3.3,1.1,1,45.0,0,6,9.0,7,0.86,2.0,2.0,0.0,0.0,-0.03,bundesliga,2023-2024
3,Junior Adamu,at AUT,FW,Freiburg,22,2001,15,105.0,7.0,3.4,1.2,0,,0,15,7.0,13,1.47,0.0,4.0,-4.0,-3.43,-3.15,bundesliga,2023-2024
4,Sargis Adamyan,am ARM,"FW,MF",Köln,30,1993,20,801.0,40.0,26.2,8.9,8,73.0,1,12,18.0,5,0.8,9.0,21.0,-12.0,-1.35,-0.55,bundesliga,2023-2024
5,Karim Adeyemi,de GER,"FW,MF",Dortmund,21,2002,21,913.0,43.0,29.8,10.1,10,64.0,1,11,25.0,3,1.76,19.0,16.0,3.0,0.3,-0.63,bundesliga,2023-2024
6,Amine Adli,ma MAR,"MF,FW",Leverkusen,23,2000,23,898.0,39.0,29.3,10.0,8,71.0,1,15,22.0,4,2.65,28.0,9.0,19.0,1.9,-0.01,bundesliga,2023-2024
7,Felix Agu,ng NGA,MF,Werder Bremen,23,1999,24,1614.0,67.0,52.7,17.9,19,81.0,4,5,14.0,5,1.42,21.0,23.0,-2.0,-0.11,0.14,bundesliga,2023-2024
8,Ludovic Ajorque,fr FRA,FW,Mainz 05,29,1994,26,1360.0,52.0,44.4,15.1,15,80.0,9,11,14.0,6,1.04,13.0,26.0,-13.0,-0.86,-0.91,bundesliga,2023-2024
9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28,1995,17,1097.0,65.0,35.8,12.2,11,86.0,9,6,26.0,11,1.35,26.0,21.0,5.0,0.41,0.64,bundesliga,2023-2024
10,Faride Alidou,de GER,"MF,FW",Köln,22,2001,26,1282.0,49.0,41.9,14.2,14,69.0,0,12,27.0,2,0.85,12.0,27.0,-15.0,-1.05,-0.19,bundesliga,2023-2024
11,Skelly Alvero,fr FRA,MF,Werder Bremen,21,2002,6,123.0,21.0,4.0,1.4,1,78.0,0,5,9.0,3,0.5,1.0,1.0,0.0,0.0,0.18,bundesliga,2023-2024
12,Nadiem Amiri,de GER,MF,Mainz 05,26,1996,15,1315.0,88.0,43.0,14.6,15,88.0,11,0,,0,1.53,23.0,20.0,3.0,0.21,0.98,bundesliga,2023-2024
13,Nadiem Amiri,de GER,MF,Leverkusen,26,1996,8,86.0,11.0,2.8,1.0,1,67.0,0,7,3.0,11,2.5,0.0,0.0,0.0,0.0,-1.97,bundesliga,2023-2024
14,Kofi Amoako,de GER,MF,Wolfsburg,18,2005,2,2.0,1.0,0.1,0.0,0,,0,2,1.0,4,2.0,0.0,0.0,0.0,0.0,0.44,bundesliga,2023-2024
15,Robert Andrich,de GER,"MF,DF",Leverkusen,28,1994,28,1690.0,60.0,55.2,18.8,18,87.0,16,10,12.0,6,2.71,47.0,9.0,38.0,2.02,0.25,bundesliga,2023-2024
16,Spyridon Angelidis,gr GRE,GK,Werder Bremen,18,2005,0,,,,,0,,0,0,,1,,,,,,,bundesliga,2023-2024
17,Waldemar Anton,de GER,DF,Stuttgart,27,1996,33,2886.0,87.0,94.3,32.1,32,89.0,30,1,45.0,0,2.12,76.0,38.0,38.0,1.19,0.67,bundesliga,2023-2024
