Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
1,Abner,br BRA,DF,Real Betis,22,2000,13,607.0,47.0,17.7,6.7,7,74.0,3,6,15.0,8,1.08,7.0,10.0,-3.0,-0.44,-0.7,la_liga,2022-2023
2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,1,13.0,13.0,0.4,0.1,0,,0,1,13.0,13,0.0,0.0,0.0,0.0,0.0,0.79,la_liga,2022-2023
3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,30,1912.0,64.0,55.9,21.2,21,79.0,10,9,28.0,0,1.33,28.0,34.0,-6.0,-0.28,-0.22,la_liga,2022-2023
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,8,675.0,84.0,19.7,7.5,7,90.0,7,1,45.0,26,0.75,5.0,6.0,-1.0,-0.13,-0.3,la_liga,2022-2023
5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,34,1888.0,56.0,55.2,21.0,18,78.0,11,16,31.0,4,1.15,19.0,36.0,-17.0,-0.81,-0.05,la_liga,2022-2023
6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,35,3119.0,89.0,91.2,34.7,35,89.0,33,0,,0,1.14,40.0,48.0,-8.0,-0.23,0.37,la_liga,2022-2023
7,Sergio Akieme,es ESP,DF,Almería,24,1997,29,2297.0,79.0,67.2,25.5,27,84.0,23,2,9.0,4,0.93,31.0,45.0,-14.0,-0.55,-0.39,la_liga,2022-2023
8,Babatunde Akinsola,ng NGA,MF,Valladolid,19,2003,1,11.0,11.0,0.3,0.1,0,,0,1,11.0,4,0.0,0.0,1.0,-1.0,-8.18,-7.42,la_liga,2022-2023
9,Paul Akouokou,ci CIV,"MF,DF",Real Betis,24,1997,12,447.0,37.0,13.1,5.0,3,89.0,2,9,20.0,19,1.67,2.0,6.0,-4.0,-0.81,-1.08,la_liga,2022-2023
10,David Alaba,at AUT,DF,Real Madrid,30,1992,23,1838.0,80.0,53.7,20.4,21,86.0,16,2,19.0,3,2.3,49.0,18.0,31.0,1.52,1.06,la_liga,2022-2023
11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,4,25.0,6.0,0.7,0.3,0,,0,4,6.0,10,2.25,0.0,0.0,0.0,0.0,-1.33,la_liga,2022-2023
12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,4,223.0,56.0,6.5,2.5,2,83.0,1,2,29.0,4,0.0,0.0,7.0,-7.0,-2.83,-2.37,la_liga,2022-2023
13,Jordi Alba,es ESP,DF,Barcelona,33,1989,24,1419.0,59.0,41.5,15.8,14,83.0,6,10,26.0,12,2.17,27.0,8.0,19.0,1.21,-0.19,la_liga,2022-2023
14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,25,2119.0,85.0,62.0,23.5,24,88.0,22,1,15.0,2,1.52,29.0,23.0,6.0,0.25,-0.64,la_liga,2022-2023
15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,31,2043.0,66.0,59.7,22.7,22,80.0,10,9,31.0,0,1.29,18.0,26.0,-8.0,-0.35,0.63,la_liga,2022-2023
