Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
1,Abner,br BRA,DF,Real Betis,22,2000,13,7,607,6.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,30,21,1912,21.2,3,2,5,3,0,0,10,3,0.14,0.09,0.24,0.14,0.24,la_liga,2022-2023
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,34,18,1888,21.0,1,2,3,1,0,0,4,0,0.05,0.1,0.14,0.05,0.14,la_liga,2022-2023
6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,35,35,3119,34.7,3,0,3,3,0,0,6,1,0.09,0.0,0.09,0.09,0.09,la_liga,2022-2023
7,Sergio Akieme,es ESP,DF,Almería,24,1997,29,27,2297,25.5,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04,la_liga,2022-2023
8,Babatunde Akinsola,ng NGA,MF,Valladolid,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
9,Paul Akouokou,ci CIV,"MF,DF",Real Betis,24,1997,12,3,447,5.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
10,David Alaba,at AUT,DF,Real Madrid,30,1992,23,21,1838,20.4,1,3,4,1,0,0,3,0,0.05,0.15,0.2,0.05,0.2,la_liga,2022-2023
11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
13,Jordi Alba,es ESP,DF,Barcelona,33,1989,24,14,1419,15.8,2,3,5,2,0,0,6,1,0.13,0.19,0.32,0.13,0.32,la_liga,2022-2023
14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,25,24,2119,23.5,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,31,22,2043,22.7,3,0,3,1,2,3,11,1,0.13,0.0,0.13,0.04,0.04,la_liga,2022-2023
16,Omar Alderete,py PAR,DF,Getafe,25,1996,25,23,2047,22.7,1,1,2,1,0,0,9,0,0.04,0.04,0.09,0.04,0.09,la_liga,2022-2023
17,Iván Alejo,es ESP,MF,Cádiz,27,1995,31,13,1311,14.6,0,1,1,0,0,0,13,1,0.0,0.07,0.07,0.0,0.07,la_liga,2022-2023
18,Carles Aleñá,es ESP,"MF,FW",Getafe,24,1998,35,26,2119,23.5,2,2,4,2,0,0,12,1,0.08,0.08,0.17,0.08,0.17,la_liga,2022-2023
19,Alejandro Alfaro,es ESP,MF,Elche,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
20,Ángel Algobia,es ESP,MF,Getafe,23,1999,26,11,1138,12.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
21,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,18,2004,19,5,587,6.5,1,2,3,1,0,0,1,0,0.15,0.31,0.46,0.15,0.46,la_liga,2022-2023
22,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,22,2000,34,29,2539,28.2,2,4,6,2,0,0,3,0,0.07,0.14,0.21,0.07,0.21,la_liga,2022-2023
23,Marcos Alonso,es ESP,DF,Barcelona,31,1990,24,11,1172,13.0,1,0,1,1,0,0,3,0,0.08,0.0,0.08,0.08,0.08,la_liga,2022-2023
24,Carlos Álvarez,es ESP,MF,Sevilla,18,2003,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
25,Gastón Álvarez,uy URU,DF,Getafe,22,2000,22,16,1501,16.7,2,0,2,2,0,0,7,1,0.12,0.0,0.12,0.12,0.12,la_liga,2022-2023
26,Yeray Álvarez,es ESP,DF,Athletic Club,27,1995,28,27,2332,25.9,1,1,2,1,0,0,7,1,0.04,0.04,0.08,0.04,0.08,la_liga,2022-2023
27,Selim Amallah,ma MAR,"MF,FW",Valladolid,25,1996,7,3,267,3.0,2,1,3,2,0,0,2,1,0.67,0.34,1.01,0.67,1.01,la_liga,2022-2023
28,Amath,sn SEN,"MF,FW",Mallorca,26,1996,28,12,1227,13.6,2,0,2,2,0,0,2,1,0.15,0.0,0.15,0.15,0.15,la_liga,2022-2023
29,Jordan Amavi,fr FRA,DF,Getafe,28,1994,5,1,200,2.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
30,Marcos André,br BRA,FW,Valencia,25,1996,17,3,447,5.0,1,0,1,1,0,0,2,1,0.2,0.0,0.2,0.2,0.2,la_liga,2022-2023
31,Fabrizio Angileri,ar ARG,DF,Getafe,28,1994,15,7,585,6.5,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
32,Josep Antoni Gayá,es ESP,DF,Mallorca,22,2000,2,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
33,José Antonio,es ESP,MF,Cádiz,18,2004,2,0,46,0.5,0,1,1,0,0,0,0,0,0.0,1.96,1.96,0.0,1.96,la_liga,2022-2023
34,Anuar,ma MAR,"MF,FW",Valladolid,27,1995,3,3,210,2.3,1,0,1,1,0,0,1,0,0.43,0.0,0.43,0.43,0.43,la_liga,2022-2023
35,Mauro Arambarri,uy URU,MF,Getafe,26,1995,13,13,992,11.0,0,1,1,0,0,0,5,1,0.0,0.09,0.09,0.0,0.09,la_liga,2022-2023
36,Ronald Araújo,uy URU,DF,Barcelona,23,1999,22,21,1800,20.0,0,2,2,0,0,0,5,1,0.0,0.1,0.1,0.0,0.1,la_liga,2022-2023
37,Adu Ares,es ESP,MF,Athletic Club,20,2001,8,0,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
38,Sergio Arribas,es ESP,MF,Real Madrid,20,2001,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
39,Roberto Arroyo,es ESP,FW,Valladolid,18,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
40,Ricard Artero,es ESP,MF,Girona,19,2003,7,0,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
41,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,24,1998,12,5,483,5.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
42,Sergio Asenjo,es ESP,GK,Valladolid,33,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
43,Marco Asensio,es ESP,"FW,MF",Real Madrid,26,1996,31,15,1442,16.0,9,6,15,9,0,1,1,0,0.56,0.37,0.94,0.56,0.94,la_liga,2022-2023
44,Iago Aspas,es ESP,FW,Celta Vigo,34,1987,37,31,2868,31.9,12,3,15,10,2,3,6,0,0.38,0.09,0.47,0.31,0.41,la_liga,2022-2023
45,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Barcelona,33,1989,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
46,Ludwig Augustinsson,se SWE,DF,Mallorca,28,1994,4,1,132,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
47,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,28,1994,29,23,1709,19.0,8,2,10,6,2,3,7,1,0.42,0.11,0.53,0.32,0.42,la_liga,2022-2023
48,Iddrisu Baba,gh GHA,MF,Mallorca,26,1996,29,20,1705,18.9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
49,Srđan Babić,rs SRB,DF,Almería,26,1996,34,33,2998,33.3,3,0,3,3,0,0,5,0,0.09,0.0,0.09,0.09,0.09,la_liga,2022-2023
50,Loïc Bade,fr FRA,DF,Sevilla,22,2000,19,16,1449,16.1,1,0,1,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06,la_liga,2022-2023
51,Édgar Badía,es ESP,GK,Elche,30,1992,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
52,Alex Baena,es ESP,"MF,FW",Villarreal,21,2001,35,19,1947,21.6,6,2,8,6,0,0,13,1,0.28,0.09,0.37,0.28,0.37,la_liga,2022-2023
53,Alejandro Balde,es ESP,DF,Barcelona,18,2003,33,30,2471,27.5,1,6,7,1,0,0,4,0,0.04,0.22,0.25,0.04,0.25,la_liga,2022-2023
