Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
1,Max Aarons,eng ENG,DF,Valencia,24,2000,1.3,2,0,0,0,2,0,5,0,4,,,0,la_liga,2024-2025
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,1,0,0,2,0,1,1,1,2,,,0,la_liga,2024-2025
3,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,1,0,0,7,5,0,0,1,5,,,0,la_liga,2024-2025
4,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,13,0,0,47,32,2,5,36,22,,,0,la_liga,2024-2025
5,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,0,0,0,1,0,1,0,0,0,,,0,la_liga,2024-2025
6,Adrián,es ESP,GK,Real Betis,37,1987,19.0,3,0,0,0,4,0,0,0,0,,,0,la_liga,2024-2025
7,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,1,1,0,3,1,0,0,0,0,,,0,la_liga,2024-2025
8,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,5,1,0,49,6,2,17,40,32,,,0,la_liga,2024-2025
9,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,3,0,0,5,8,0,12,4,2,,,0,la_liga,2024-2025
10,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,la_liga,2024-2025
11,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,19.6,5,0,0,11,19,0,2,12,26,,,0,la_liga,2024-2025
12,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,6.5,0,0,0,4,2,0,0,6,5,,,0,la_liga,2024-2025
13,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,0.0,0,0,0,0,0,0,0,0,0,,,0,la_liga,2024-2025
